Duration,Price,Night,Number_of_Flights
170,3897,True,1
445,7662,True,3
1140,13882,False,3
325,6218,True,2
285,13302,False,2
145,3873,False,1
930,11087,True,2
1265,22270,False,2
1530,11087,False,2
470,8625,False,2
795,8907,False,2
155,4174,True,1
135,4667,False,1
730,9663,True,2
155,4804,False,1
1595,14011,False,3
270,5830,False,2
1355,10262,False,2
1380,13381,True,3
1235,12898,False,2
310,19495,False,2
920,6955,True,2
170,3943,True,1
175,4823,True,1
800,7757,True,2
910,13292,True,3
345,8238,True,2
355,7682,False,2
170,4668,False,1
135,3687,False,1
135,3687,False,1
805,13227,False,3
170,4423,True,1
1320,10919,False,3
330,12373,False,2
625,5894,False,2
315,4649,False,2
150,6245,False,1
375,19225,False,2
715,14924,False,2
665,9646,False,2
510,8714,False,2
1325,12373,True,2
165,3383,False,1
720,13062,False,2
170,3527,True,1
170,3943,True,1
135,4667,False,1
965,6117,True,2
1195,11150,True,3
195,7202,False,1
1520,12121,False,2
170,4377,True,1
180,3943,True,1
170,4483,True,1
975,14231,True,2
905,17345,False,3
135,7414,False,1
390,8073,True,2
1505,12395,False,2
745,8366,False,2
1640,5117,False,2
615,12524,False,2
630,7191,False,2
135,3687,False,1
625,5894,False,2
170,5403,False,1
90,3625,False,1
800,10861,True,3
135,6297,False,1
85,5678,False,1
1590,9134,True,2
440,10791,False,2
810,12819,True,3
300,6893,True,2
165,7240,False,1
170,3898,False,1
90,4049,False,1
1145,10262,False,2
135,3332,False,1
890,10844,True,2
160,7229,True,1
1330,13941,False,2
575,5894,False,2
600,10197,False,2
1280,13712,False,2
325,5636,True,2
1125,13014,False,3
740,7064,False,2
1080,10703,True,2
555,9646,False,2
665,17057,True,2
1050,13817,False,2
800,13748,True,3
155,4880,True,1
145,3540,True,1
160,3257,True,1
180,6478,True,1
85,8040,False,1
995,14300,True,3
740,14781,False,2
735,14939,True,2
450,10262,True,2
1440,6528,False,2
165,6121,False,1
535,13029,True,3
430,11421,False,2
870,7574,True,2
1820,11596,False,3
1195,15129,True,3
900,13555,False,2
175,5780,True,1
765,9397,True,2
610,17024,True,2
355,5281,False,2
925,10348,False,2
965,12677,False,2
610,15147,False,2
160,4668,False,1
715,15554,False,2
160,3971,True,1
85,3100,False,1
845,9663,True,2
1215,27430,True,2
145,3540,True,1
1390,10676,False,3
1090,13044,False,2
960,14388,True,2
170,3943,True,1
140,3597,False,1
480,5932,False,2
1015,10262,False,2
190,6216,False,1
165,4804,True,1
840,14067,False,2
1430,15129,True,3
1300,13376,False,3
1275,10441,True,3
165,4030,False,1
650,17024,False,2
480,13017,False,2
495,6686,True,2
325,5636,True,2
515,6442,False,2
710,9486,False,2
1655,10844,True,2
505,15318,True,3
1255,5117,False,2
290,6147,False,2
490,7005,False,2
140,3873,True,1
1465,9270,True,3
170,3898,False,1
740,14781,False,2
735,8586,True,2
1415,10697,False,3
995,14300,True,3
170,8855,True,1
1545,10844,False,2
1570,17024,True,2
1730,9314,False,2
165,4777,True,1
1515,7662,False,2
560,6442,False,2
270,5264,False,2
925,12898,False,2
90,6092,False,1
160,3311,True,1
550,6540,True,2
165,3419,True,1
1355,5177,False,2
185,8246,True,1
690,14676,False,2
570,13587,False,2
730,9663,True,2
1055,13044,False,2
305,5073,True,2
1550,9345,False,2
1200,9663,False,2
780,14277,False,2
1105,10262,False,2
90,5678,True,1
570,13727,False,2
960,9663,True,2
140,3858,False,1
270,4812,False,2
345,5775,True,2
1450,10539,False,2
155,4804,False,1
165,3383,False,1
295,8738,False,2
1535,7165,True,2
380,6412,False,2
185,8016,True,1
1120,11087,True,2
135,3543,False,1
730,12471,False,2
1165,10262,False,2
170,4441,False,1
505,12537,False,2
555,10091,True,2
170,6961,True,1
195,5013,True,1
170,6934,True,1
740,10877,False,2
175,7229,False,1
575,7048,False,2
155,4878,False,1
570,10844,False,2
1760,15129,True,3
175,3943,True,1
315,5583,False,2
545,9646,False,2
645,7677,False,2
295,6842,True,2
90,4995,False,1
700,9555,False,2
165,4077,True,1
175,7229,False,1
600,12192,False,2
165,5911,False,1
615,8372,False,2
85,4995,False,1
555,14323,False,2
1375,13014,True,3
1730,13591,False,3
2245,18799,True,3
170,3943,True,1
90,1965,True,1
90,4995,False,1
1540,14641,False,2
155,4460,True,1
375,10191,False,2
1050,13843,True,2
345,6349,True,2
155,4409,False,1
1530,17024,True,2
835,13727,False,2
175,8855,True,1
615,12524,False,2
520,13555,False,2
330,10844,False,2
720,13587,False,2
135,3543,False,1
135,4842,False,1
170,3943,True,1
550,10577,True,2
625,6979,False,2
140,11982,False,1
270,5264,False,2
190,8001,False,1
1410,10651,True,3
1640,10844,False,2
755,6601,False,2
1455,6587,True,2
80,3173,False,1
165,5228,False,1
180,5769,False,1
660,14714,False,2
810,13014,True,3
170,3359,True,1
175,6722,True,1
165,4462,False,1
675,6171,True,2
875,12303,True,3
835,7695,False,2
845,5684,False,2
905,8366,False,2
135,19630,False,1
900,13502,False,2
775,14781,True,2
540,6513,False,2
735,9929,False,2
460,18275,False,3
1640,4487,False,2
85,2754,True,1
80,2575,False,1
330,8224,False,2
705,8991,True,2
195,5000,True,1
1495,8529,True,2
1640,14042,False,2
175,4030,False,1
1025,10844,True,2
160,4804,True,1
480,7308,False,2
180,4823,False,1
1655,10262,False,2
450,12898,True,2
1375,12778,False,3
515,14871,True,2
1795,8708,False,3
1335,10844,True,2
80,4129,True,1
160,4804,True,1
180,7229,False,1
730,7832,False,2
155,3859,False,1
705,9001,False,2
155,4878,False,1
90,2754,True,1
160,4668,False,1
155,5216,False,1
1375,10368,True,3
880,8146,False,3
925,12242,False,2
435,9134,False,2
1210,10939,False,3
1245,11753,False,3
150,4174,False,1
1430,10844,True,2
1620,14714,False,2
330,9899,False,2
710,14871,False,2
135,7295,False,1
1470,13465,True,3
140,3543,False,1
390,7198,True,2
1225,10262,False,2
155,4148,False,1
175,8016,False,1
335,10262,True,2
150,3841,False,1
885,11507,False,2
740,14781,False,2
1530,16079,False,2
335,12898,True,2
705,15353,False,2
175,7303,True,1
340,6197,False,2
245,8996,False,2
480,6528,False,2
165,4239,True,1
160,4148,True,1
175,3971,True,1
955,5192,False,2
1390,9483,False,3
440,18804,False,3
170,5201,True,1
450,16079,False,2
180,7229,True,1
465,6795,False,2
1520,10953,False,2
625,15965,False,3
1820,9968,False,3
155,4804,True,1
540,16079,False,2
910,11507,True,3
1700,11542,False,3
180,7229,False,1
165,4544,False,1
295,6496,True,2
160,4804,True,1
1330,13439,False,2
610,6540,True,2
170,4591,True,1
260,4437,False,2
660,6151,True,2
180,7754,False,1
1355,10262,False,2
185,8016,True,1
160,4781,False,1
170,4668,False,1
1265,14594,False,2
710,14231,False,2
1535,8425,True,2
925,9646,False,2
145,7295,False,1
220,5162,False,2
175,6860,True,1
190,6216,False,1
710,5192,False,2
170,4823,True,1
170,3919,False,1
90,2754,True,1
690,9315,False,2
530,11667,False,2
1215,6224,False,2
1210,13349,False,3
965,11087,False,2
755,15603,False,2
1025,15129,True,3
180,4823,False,1
930,8452,False,2
690,12524,False,2
140,3384,False,1
1425,10262,True,2
90,1965,False,1
155,4804,True,1
1485,16079,True,2
1295,13292,True,3
330,6751,False,2
735,8669,False,2
485,14871,False,2
300,12898,False,2
170,3919,False,1
385,36983,False,2
140,3597,True,1
165,10741,False,1
765,11432,False,3
950,11087,True,2
1620,13292,False,3
1585,10493,True,4
175,7631,False,1
1490,13381,False,3
520,13731,True,2
1545,11911,True,3
170,4591,True,1
375,14848,False,2
630,8266,False,2
1560,12392,False,3
1025,13044,True,2
1280,12898,False,2
335,12242,True,2
170,3943,False,1
1550,11105,True,2
730,14388,True,2
1025,13014,True,3
510,15411,False,2
1385,16289,True,2
560,6442,False,2
475,10844,False,2
90,5678,False,1
170,6906,True,1
135,3543,False,1
600,14714,False,2
155,11793,False,1
465,14323,False,2
175,3971,True,1
1580,8452,True,2
160,5403,False,1
660,13727,False,2
1165,12639,False,3
175,5198,False,1
165,4878,True,1
1395,12373,True,2
540,8552,False,2
190,6741,False,1
385,6481,False,2
520,7354,False,2
170,5228,True,1
740,10844,False,2
320,6347,False,2
240,5013,False,2
585,9663,True,2
175,4823,True,1
1580,13381,False,3
135,3543,False,1
585,9663,True,2
1495,7064,True,2
715,10262,False,2
500,13013,False,3
1045,15339,True,3
170,4937,False,1
425,6818,True,2
1275,10441,True,3
300,5177,False,2
145,3858,False,1
315,6534,True,2
910,6795,False,2
705,9736,False,2
180,7229,True,1
295,4957,False,2
165,7648,False,1
150,3873,False,1
585,14388,True,2
160,5618,False,1
390,7408,True,2
330,13774,False,2
160,4668,False,1
2045,13082,True,3
925,8669,True,2
570,6316,False,2
365,12583,True,2
160,7923,False,1
350,7378,False,2
165,4878,True,1
1640,10844,False,2
180,7229,False,1
315,6297,False,2
960,8529,True,2
420,13727,False,2
520,6643,False,2
540,10197,False,2
140,4911,True,1
140,6482,True,1
380,26890,False,2
265,3717,True,2
140,3597,False,1
665,10846,False,3
1015,14069,True,2
825,5177,True,2
1545,14641,True,3
835,6442,False,2
315,5704,False,2
